id,dominio_original_csv,dominio_verificado,common_name,data_expiracao,dias_restantes
63fdca5f3012055236717e60,https://www.tudofacilmei.com.br,www.tudofacilmei.com.br,tudofacilmei,27/07/2025 01:41:07 UTC,51
635ae6827df03c2467df9e63,https://www.ogboncontabilidade.com.br,www.ogboncontabilidade.com.br,ogboncontabilidade,09/08/2025 04:42:50 UTC,64
641af6f477e4f8f8c3a572d3,nexacont.com,nexacont.com,nexacont.com,14/08/2025 17:29:11 UTC,69
64492a13202906fede09c359,http://www.diariacertamei.com.br,www.diariacertamei.com.br,diariacertamei,12/08/2025 23:17:13 UTC,68
647deac10c386d8a9efd503b,www.reguluscontabil.com.br,www.reguluscontabil.com.br,reguluscontabil,18/07/2025 13:23:10 UTC,42
6494ac523ac993ca8943a1ea,https://ameisolucoes.com.br/,ameisolucoes.com.br,ameisolucoes,26/08/2025 00:21:43 UTC,81
6436f1628e1e7905e7ec4e0e,www.advys.com.br,www.advys.com.br,*.advys,11/07/2025 12:40:29 UTC,35
64c4006fb9975d13475f5cdf,www.jotagemei.com.br,www.jotagemei.com.br,jotagemei,28/08/2025 21:44:49 UTC,83
649d7ea74e3f9b6d8b658b02,www.tcmcontabilidade.com.br,www.tcmcontabilidade.com.br,tcmcontabilidade,27/08/2025 03:03:00 UTC,82
656a1bbf715c55d2c6cf9b62,https://tomasimei.com.br/,tomasimei.com.br,*.locaweb,18/02/2026 15:17:03 UTC,257
659714f9532792247c415e40,www.commei.com.br,www.commei.com.br,commei,19/08/2025 03:44:10 UTC,74
65f0af1cc529a4244786708b,www.aettosgestao.com.br,www.aettosgestao.com.br,aettosgestao,01/09/2025 02:21:03 UTC,87
65579cd6ab739227caad2574,www.evoluameiagora.com.br,www.evoluameiagora.com.br,evoluameiagora,12/08/2025 21:45:16 UTC,67
6581abe7ab6e64a254a6292d,https://www.consultemei.com.br,www.consultemei.com.br,consultemei,27/07/2025 03:24:12 UTC,51
65f9d766ba2cdc39e67915e6,www.wisdommentoria.com.br,www.wisdommentoria.com.br,*.locaweb,18/02/2026 15:17:03 UTC,257
65f0ac6ec529a42447867032,https://www.criativamei.com.br,www.criativamei.com.br,criativamei,04/08/2025 05:15:51 UTC,59
65f0ad70c529a42447867048,www.unimei.com.br,www.unimei.com.br,unimei,24/08/2025 20:26:42 UTC,79
65f9f7f3ba2cdc39e6791817,www.cargomei.com.br,www.cargomei.com.br,cargomei,12/08/2025 01:34:54 UTC,67
